x[mm]	y[mm]	ampx_meas[mm]	ampy_meas[mm]	p2p_x[m]	p2p_y[m]
1.8	3.0	1.884635	1.48456	0.00377934	0.002967086
1.8	3.2	1.911357	1.562104	0.003856726	0.003109668
1.8	3.4	1.9710965	1.642381	0.00397425	0.003288647
1.8	3.6	2.0232125	1.724602	0.004055981	0.00344963

2.0	0.4	1.9145005	0.300113	0.003818378	0.000596612
2.0	0.6	1.914476	0.3929415	0.003829971	0.000778636
2.0	0.8	1.913397	0.4869175	0.00382918	0.000973996
2.0	1.0	1.915715	0.5812105	0.003829272	0.00115807
2.0	1.2	1.9106045	0.676806	0.003818439	0.001352434
2.0	1.4	1.914404	0.776538	0.003837394	0.001552797
2.0	1.6	1.9229295	0.874399	0.003850762	0.001751701
2.0	1.8	1.9323435	0.974313	0.003868123	0.001947965
2.0	2.0	1.9462295	1.07005	0.003897247	0.002138798
2.0	2.2	1.9498445	1.1673475	0.003936876	0.002328502
2.0	2.4	1.982971	1.25544	0.003957029	0.002511057
2.0	2.6	1.998796	1.345506	0.00401171	0.002680901
2.0	2.8	2.036245	1.4299715	0.004069059	0.002861771
2.0	3.0	2.0706375	1.504259	0.004170817	0.00303856
2.0	3.2	2.129005	1.600093	0.004238523	0.003202504
2.0	3.4	2.186767	1.659335	0.004343742	0.003351474
2.0	3.6	2.2083	1.7482575	0.004404688	0.003500388

2.2	0.4	2.101956	0.3108255	0.004209654	0.000622466
2.2	0.6	2.1029045	0.403669	0.004209571	0.000806334
2.2	0.8	2.1002855	0.498422	0.004205745	0.000998567
2.2	1.0	2.0989955	0.593155	0.004205496	0.001190526
2.2	1.2	2.103816	0.6946965	0.004215709	0.001388901
2.2	1.4	2.1069595	0.795946	0.004216655	0.001591111
2.2	1.6	2.1060135	0.893196	0.00422793	0.001791183
2.2	1.8	2.1072155	0.992315	0.004208842	0.001985582
2.2	2.0	2.1348995	1.0998465	0.004264847	0.002195375
2.2	2.2	2.148622	1.196314	0.004307607	0.002393814
2.2	2.4	2.175238	1.285822	0.004351909	0.002578652
2.2	2.6	2.2060745	1.371845	0.004397878	0.002762926
2.2	2.8	2.23211	1.4653025	0.004472171	0.002934292
2.2	3.0	2.264864	1.551112	0.004523491	0.003101968
2.2	3.2	2.292839	1.6232955	0.004628973	0.003260064
2.2	3.4	2.3538525	1.71561	0.004713751	0.003431176
2.2	3.6	2.419197	1.789769	0.004828134	0.003566772

2.4	0.4	2.292892	0.3242545	0.004585352	0.000646889
2.4	0.6	2.2940485	0.417911	0.004586702	0.000829933
2.4	0.8	2.2838085	0.511043	0.004559371	0.00102488
2.4	1.0	2.2925885	0.609962	0.004583548	0.001219456
2.4	1.2	2.294786	0.7127075	0.004594588	0.001422092
2.4	1.4	2.298709	0.8136495	0.004597134	0.001634502
2.4	1.6	2.2955915	0.9201855	0.004576658	0.001845517
2.4	1.8	2.3013505	1.026594	0.004603315	0.002054313
2.4	2.0	2.3192935	1.1322335	0.004629607	0.002254148
