@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "LHCB2"
@ PARTICLE         %06s "PROTON"
@ MASS             %le        0.9382720814
@ CHARGE           %le                   1
@ ENERGY           %le                 450
@ PC               %le         449.9990218
@ GAMMA            %le         479.6050196
@ KBUNCH           %le                   1
@ BCURRENT         %le     0.0002071977779
@ SIGE             %le               0.001
@ SIGT             %le                   1
@ NPART            %le            1.15e+11
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le               0.001
@ LENGTH           %le          26658.8832
@ ALFA             %le       0.00034799894
@ ORBIT5           %le                  -0
@ GAMMATR          %le         53.60570838
@ Q1               %le               62.31
@ Q2               %le               60.32
@ DQ1              %le         2.000004327
@ DQ2              %le         2.000004327
@ DXMAX            %le         2.886807711
@ DYMAX            %le                   0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         6010.066268
@ BETYMAX          %le         6010.066268
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         1.498432877
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %22s "Model creator for java"
@ ORIGIN           %16s "5.03.07 Linux 64"
@ DATE             %08s "02/02/18"
@ TIME             %08s "15.34.16"
* NAME                                S                  L KEYWORD            PARENT                            K1L 
 "MQXA.1L1"                 3172.287584               6.37 "QUADRUPOLE"        "MQXA"                   0.05527348283
 "MQXA.1R1"                 3224.587584               6.37 "QUADRUPOLE"        "MQXA"                  -0.05527348283
 "MQXB.A2R1"                3232.802584                5.5 "QUADRUPOLE"        "MQXB"                   0.04844012767
 "MQXB.B2R1"                3239.302584                5.5 "QUADRUPOLE"        "MQXB"                   0.04844012767
 "MQSX.3R1"                 3241.972084              0.223 "QUADRUPOLE"        "MQSX"                              -0
 "MQXA.3R1"                 3248.587584               6.37 "QUADRUPOLE"        "MQXA"                  -0.05573561673
 "MBXW.A4R1"                3258.274584        3.400000005 "RBEND"             "MBXW"                              -0
 "MBXW.B4R1"                3262.540584        3.400000005 "RBEND"             "MBXW"                              -0
 "MBXW.C4R1"                3266.806584        3.400000005 "RBEND"             "MBXW"                              -0
 "MBXW.D4R1"                3271.072584        3.400000005 "RBEND"             "MBXW"                              -0
 "MBXW.E4R1"                3275.338584        3.400000005 "RBEND"             "MBXW"                              -0
 "MBXW.F4R1"                3279.604584        3.400000005 "RBEND"             "MBXW"                              -0
 "X1FCR.4R1"                3336.412584                  0 "INSTRUMENT"        "X1FCR"                             -0
 "BRANA.4R1"                3336.628584                  0 "INSTRUMENT"        "BRANA"                             -0
 "X1ZDC.A4R1"               3337.262584                0.6 "INSTRUMENT"        "X1ZDC001"                          -0
 "MBRC.4R1.B2"              3357.877584        9.450000502 "RBEND"             "MBRC"                              -0
 "MQY.4R1.B2"               3366.505584                3.4 "QUADRUPOLE"        "MQY"                   0.007005447498
 "BPTX.5R1.B2"              3369.971084                  0 "INSTRUMENT"        "BPTX"                              -0
 "MQML.5R1.B2"              3394.142584                4.8 "QUADRUPOLE"        "MQML"                 -0.005533685736
 "MQML.6R1.B2"              3426.042584                4.8 "QUADRUPOLE"        "MQML"                          0.0024
 "MQM.A7R1.B2"              3458.656584                3.4 "QUADRUPOLE"        "MQM"                   -0.02551265335
 "MQM.B7R1.B2"              3462.423584                3.4 "QUADRUPOLE"        "MQM"                   -0.02551265335
 "MQML.8R1.B2"              3501.493594                4.8 "QUADRUPOLE"        "MQML"                    0.0377701698
 "MQMC.9R1.B2"              3538.189605                2.4 "QUADRUPOLE"        "MQMC"                  -0.01651270949
 "MQM.9R1.B2"               3541.955605                3.4 "QUADRUPOLE"        "MQM"                   -0.02339300511
 "MQML.10R1.B2"             3581.021615                4.8 "QUADRUPOLE"        "MQML"                   0.03434311402
 "MQ.11R1.B2"               3632.354326                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQTLI.11R1.B2"            3633.823326                1.3 "QUADRUPOLE"        "MQTLI"                0.0008529651207
 "MQT.12R1.B2"              3683.894842               0.32 "QUADRUPOLE"        "MQT"                 -0.0006179123523
 "MQ.12R1.B2"               3687.292842                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQT.13R1.B2"              3737.343358               0.32 "QUADRUPOLE"        "MQT"                   0.001477239462
 "MQ.13R1.B2"               3740.741358                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
